Rank  Nickname       今日击杀数               今日死亡数               新增击杀数               新增死亡数               击杀比   
Top1    和明天相逢          24980               26267               88                  33                  2.67  
Top2    GhostFace      92377               33683               131                 77                  1.70  
Top3    lilt           121436              99010               43                  33                  1.30  
Top4    Lucas          103818              82147               109                 86                  1.27  
Top5    哞哞             30241               33537               75                  68                  1.10  
Top6    深藏Blue         42165               37444               58                  53                  1.09  
Top7    Ari            46058               49681               78                  86                  0.91  
Top8    这很机车           55228               56506               222                 274                 0.81  
Top9    你这只臭猫          102491              102213              469                 584                 0.80  
Top10   餐具大师           120612              113612              25                  34                  0.74  
Top11   彦祖没有我潇         53468               47177               2                   6                   0.33  
Top12   法兰西多士          85796               95280               0                   0                   0.00  
Top13   隗遗生            72844               60419               0                   0                   0.00  
Top14   小牛马            7886                9530                0                   0                   0.00  
Top15   bob            57903               53085               0                   0                   0.00  
Top16   波奇             41944               43271               0                   0                   0.00  
Top17   Ash            21285               21502               0                   0                   0.00  
Top18   京极真            8132                7038                0                   0                   0.00  
Top19   我没文化           3007                3054                0                   0                   0.00  
Top20   阿司匹林           54130               55524               0                   0                   0.00  
Top21   小熊饼干           88296               86857               0                   0                   0.00  
Top22   大泡泡            56787               57815               0                   0                   0.00  
Top23   axxibar        17046               20716               0                   0                   0.00  
