Rank  Nickname       今日击杀数               今日死亡数               新增击杀数               新增死亡数               击杀比   
Top1    小牛马            5845                7089                99                  85                  1.16  
Top2    你这只臭猫          98681               98909               150                 129                 1.16  
Top3    lilt           120382              98240               16                  17                  0.94  
Top4    Lucas          99258               78445               25                  27                  0.93  
Top5    和明天相逢          22788               23759               12                  21                  0.57  
Top6    哞哞             28402               31570               0                   0                   0.00  
Top7    Ari            44751               48471               0                   0                   0.00  
Top8    法兰西多士          85725               95218               0                   0                   0.00  
Top9    隗遗生            72844               60419               0                   0                   0.00  
Top10   bob            57436               52626               0                   0                   0.00  
Top11   波奇             40893               42294               0                   0                   0.00  
Top12   餐具大师           120397              113270              0                   0                   0.00  
Top13   Ash            21285               21502               0                   0                   0.00  
Top14   这很机车           51464               51894               0                   0                   0.00  
Top15   京极真            6684                5859                0                   0                   0.00  
Top16   彦祖没有我潇         53180               46741               0                   0                   0.00  
Top17   我没文化           2730                2831                0                   0                   0.00  
Top18   阿司匹林           54097               55493               0                   0                   0.00  
Top19   小熊饼干           88278               86834               0                   0                   0.00  
