Rank  Nickname       今日击杀数               今日死亡数               新增击杀数               新增死亡数               击杀比   
Top1    Lucas          97696               76939               130                 101                 1.29  
Top2    这很机车           50168               50335               34                  29                  1.17  
Top3    lilt           119496              97367               34                  35                  0.97  
Top4    波奇             39355               41054               149                 162                 0.92  
Top5    哞哞             28100               31177               101                 115                 0.88  
Top6    和明天相逢          22029               22757               47                  56                  0.84  
Top7    法兰西多士          85704               95194               156                 187                 0.83  
Top8    Ari            44080               47771               108                 143                 0.76  
Top9    餐具大师           120065              112703              9                   22                  0.41  
Top10   隗遗生            72844               60419               0                   0                   0.00  
Top11   小牛马            5282                6538                0                   0                   0.00  
Top12   bob            57374               52562               0                   0                   0.00  
Top13   Ash            21285               21502               0                   0                   0.00  
Top14   京极真            6585                5796                0                   0                   0.00  
Top15   你这只臭猫          97586               98020               0                   0                   0.00  
Top16   彦祖没有我潇         53180               46741               0                   0                   0.00  
Top17   我没文化           928                 877                 0                   0                   0.00  
Top18   阿司匹林           54012               55382               0                   0                   0.00  
Top19   小熊饼干           88234               86773               0                   0                   0.00  
