Rank  Nickname       今日击杀数               今日死亡数               新增击杀数               新增死亡数               击杀比   
Top1    这很机车           55360               56566               132                 60                  2.20  
Top2    GhostFace      92399               33693               22                  10                  2.20  
Top3    lilt           121506              99044               70                  34                  2.06  
Top4    京极真            8319                7145                187                 107                 1.75  
Top5    你这只臭猫          102806              102544              315                 331                 0.95  
Top6    大泡泡            56806               57836               19                  21                  0.90  
Top7    深藏Blue         42199               37483               34                  39                  0.87  
Top8    Lucas          103855              82194               37                  47                  0.79  
Top9    Ari            46070               49706               12                  25                  0.48  
Top10   哞哞             30241               33537               0                   0                   0.00  
Top11   法兰西多士          85796               95280               0                   0                   0.00  
Top12   和明天相逢          24980               26267               0                   0                   0.00  
Top13   隗遗生            72844               60419               0                   0                   0.00  
Top14   小牛马            7886                9530                0                   0                   0.00  
Top15   bob            57903               53085               0                   0                   0.00  
Top16   波奇             41944               43271               0                   0                   0.00  
Top17   餐具大师           120612              113612              0                   0                   0.00  
Top18   Ash            21285               21502               0                   0                   0.00  
Top19   彦祖没有我潇         53468               47177               0                   0                   0.00  
Top20   我没文化           3007                3054                0                   0                   0.00  
Top21   阿司匹林           54130               55524               0                   0                   0.00  
Top22   小熊饼干           88296               86857               0                   0                   0.00  
Top23   axxibar        17046               20716               0                   0                   0.00  
