Rank  Nickname       今日击杀数               今日死亡数               新增击杀数               新增死亡数               击杀比   
Top1    GhostFace      93633               34569               206                 144                 1.43  
Top2    京极真            9446                7867                140                 108                 1.30  
Top3    bob            58062               53213               42                  34                  1.24  
Top4    餐具大师           120770              113789              72                  59                  1.22  
Top5    你这只臭猫          103906              103606              70                  60                  1.17  
Top6    和明天相逢          25345               26708               99                  89                  1.11  
Top7    哞哞             31804               35003               323                 301                 1.07  
Top8    这很机车           56367               57524               79                  79                  1.00  
Top9    小熊饼干           88397               86949               78                  79                  0.99  
Top10   Lucas          104655              82923               0                   0                   0.00  
Top11   lilt           121950              99377               0                   0                   0.00  
Top12   Ari            46285               49932               0                   0                   0.00  
Top13   法兰西多士          85796               95280               0                   0                   0.00  
Top14   隗遗生            72844               60419               0                   0                   0.00  
Top15   小牛马            7895                9544                0                   0                   0.00  
Top16   波奇             41983               43298               0                   0                   0.00  
Top17   Ash            21285               21502               0                   0                   0.00  
Top18   彦祖没有我潇         53924               47852               0                   0                   0.00  
Top19   我没文化           3007                3054                0                   0                   0.00  
Top20   阿司匹林           54130               55524               0                   0                   0.00  
Top21   深藏Blue         43008               38376               0                   0                   0.00  
Top22   大泡泡            57111               58149               0                   0                   0.00  
Top23   axxibar        17046               20716               0                   0                   0.00  
