Rank  Nickname       今日击杀数               今日死亡数               新增击杀数               新增死亡数               击杀比   
Top1    小熊饼干           88132               86686               24                  17                  1.41  
Top2    餐具大师           119567              112026              120                 89                  1.35  
Top3    Lucas          96025               75529               244                 182                 1.34  
Top4    波奇             38664               40402               70                  55                  1.27  
Top5    你这只臭猫          97194               97581               64                  60                  1.07  
Top6    彦祖没有我潇         52990               46392               41                  43                  0.95  
Top7    哞哞             27492               30445               102                 120                 0.85  
Top8    Ari            43014               46661               131                 154                 0.85  
Top9    阿司匹林           53935               55303               59                  73                  0.81  
Top10   这很机车           48773               48807               110                 141                 0.78  
Top11   和明天相逢          21349               22022               54                  80                  0.68  
Top12   lilt           118915              96753               0                   0                   0.00  
Top13   法兰西多士          85548               95007               0                   0                   0.00  
Top14   隗遗生            72759               60336               0                   0                   0.00  
Top15   小牛马            4700                6053                0                   0                   0.00  
Top16   bob            57328               52495               0                   0                   0.00  
Top17   Ash            21285               21502               0                   0                   0.00  
Top18   京极真            6574                5781                0                   0                   0.00  
Top19   我没文化           29                  31                  0                   0                   0.00  
