Rank  Nickname       今日击杀数               今日死亡数               新增击杀数               新增死亡数               击杀比   
Top1    和明天相逢          20872               21442               90                  67                  1.34  
Top2    波奇             38244               40093               142                 107                 1.33  
Top3    彦祖没有我潇         52949               46349               52949               46349               1.14  
Top4    你这只臭猫          96215               96623               61                  57                  1.07  
Top5    Lucas          94309               74084               172                 167                 1.03  
Top6    我没文化           29                  31                  29                  31                  0.94  
Top7    bob            57300               52460               36                  39                  0.92  
Top8    哞哞             26967               29817               56                  72                  0.78  
Top9    lilt           118437              96376               18                  25                  0.72  
Top10   Ari            42210               45765               0                   0                   0.00  
Top11   法兰西多士          85535               94993               0                   0                   0.00  
Top12   隗遗生            72759               60336               0                   0                   0.00  
Top13   小牛马            4549                5910                0                   0                   0.00  
Top14   餐具大师           119042              111573              0                   0                   0.00  
Top15   Ash            21285               21502               0                   0                   0.00  
Top16   这很机车           47410               47164               0                   0                   0.00  
Top17   京极真            6574                5781                0                   0                   0.00  
