Rank  Nickname       今日击杀数               今日死亡数               新增击杀数               新增死亡数               击杀比   
Top1    Lucas          100496              79393               116                 81                  1.43  
Top2    波奇             41567               42887               66                  47                  1.40  
Top3    bob            57505               52702               69                  76                  0.91  
Top4    哞哞             28654               31899               115                 133                 0.86  
Top5    小牛马            6771                8236                58                  91                  0.64  
Top6    这很机车           52959               53841               96                  153                 0.63  
Top7    餐具大师           120416              113337              8                   17                  0.47  
Top8    lilt           120506              98324               0                   0                   0.00  
Top9    Ari            45208               48948               0                   0                   0.00  
Top10   法兰西多士          85725               95218               0                   0                   0.00  
Top11   和明天相逢          23596               24732               0                   0                   0.00  
Top12   隗遗生            72844               60419               0                   0                   0.00  
Top13   Ash            21285               21502               0                   0                   0.00  
Top14   京极真            6684                5859                0                   0                   0.00  
Top15   你这只臭猫          99162               99286               0                   0                   0.00  
Top16   彦祖没有我潇         53185               46773               0                   0                   0.00  
Top17   我没文化           2980                3035                0                   0                   0.00  
Top18   阿司匹林           54097               55493               0                   0                   0.00  
Top19   小熊饼干           88278               86834               0                   0                   0.00  
