Rank  Nickname       今日击杀数               今日死亡数               新增击杀数               新增死亡数               击杀比   
Top1    Lucas          96977               76273               220                 188                 1.17  
Top2    我没文化           626                 500                 393                 339                 1.16  
Top3    彦祖没有我潇         52991               46393               1                   1                   1.00  
Top4    小牛马            4937                6305                228                 235                 0.97  
Top5    小熊饼干           88234               86773               33                  35                  0.94  
Top6    Ari            43739               47382               65                  71                  0.92  
Top7    阿司匹林           54012               55382               32                  35                  0.91  
Top8    这很机车           49712               49800               315                 420                 0.75  
Top9    lilt           119145              96996               27                  39                  0.69  
Top10   和明天相逢          21895               22606               175                 254                 0.69  
Top11   餐具大师           119938              112521              29                  46                  0.63  
Top12   哞哞             27704               30690               0                   0                   0.00  
Top13   法兰西多士          85548               95007               0                   0                   0.00  
Top14   隗遗生            72759               60336               0                   0                   0.00  
Top15   bob            57366               52543               0                   0                   0.00  
Top16   波奇             38891               40607               0                   0                   0.00  
Top17   Ash            21285               21502               0                   0                   0.00  
Top18   京极真            6574                5781                0                   0                   0.00  
Top19   你这只臭猫          97274               97668               0                   0                   0.00  
