Rank  Nickname       今日击杀数               今日死亡数               新增击杀数               新增死亡数               击杀比   
Top1    GhostFace      91314               33076               54                  29                  1.86  
Top2    bob            57854               53057               111                 72                  1.54  
Top3    这很机车           54457               55659               111                 76                  1.46  
Top4    哞哞             29610               32899               86                  67                  1.28  
Top5    Lucas          102880              81426               101                 80                  1.26  
Top6    Ari            45755               49355               26                  22                  1.18  
Top7    和明天相逢          24725               26023               8                   7                   1.14  
Top8    深藏Blue         41891               37147               59                  60                  0.98  
Top9    大泡泡            56585               57625               81                  101                 0.80  
Top10   lilt           121061              98731               0                   0                   0.00  
Top11   法兰西多士          85778               95263               0                   0                   0.00  
Top12   隗遗生            72844               60419               0                   0                   0.00  
Top13   小牛马            7665                9251                0                   0                   0.00  
Top14   波奇             41913               43230               0                   0                   0.00  
Top15   餐具大师           120566              113524              0                   0                   0.00  
Top16   Ash            21285               21502               0                   0                   0.00  
Top17   京极真            7738                6796                0                   0                   0.00  
Top18   你这只臭猫          100324              100555              0                   0                   0.00  
Top19   彦祖没有我潇         53244               46866               0                   0                   0.00  
Top20   我没文化           3007                3054                0                   0                   0.00  
Top21   阿司匹林           54097               55493               0                   0                   0.00  
Top22   小熊饼干           88278               86834               0                   0                   0.00  
Top23   axxibar        17046               20716               0                   0                   0.00  
