Rank  Nickname       今日击杀数               今日死亡数               新增击杀数               新增死亡数               击杀比   
Top1    Ari            45307               49010               60                  27                  2.22  
Top2    Lucas          100600              79480               21                  14                  1.50  
Top3    lilt           120530              98340               24                  16                  1.50  
Top4    和明天相逢          23967               25125               33                  30                  1.10  
Top5    餐具大师           120451              113387              16                  15                  1.07  
Top6    这很机车           53145               54088               124                 163                 0.76  
Top7    哞哞             28707               31952               0                   0                   0.00  
Top8    法兰西多士          85725               95218               0                   0                   0.00  
Top9    隗遗生            72844               60419               0                   0                   0.00  
Top10   小牛马            6822                8282                0                   0                   0.00  
Top11   bob            57505               52704               0                   0                   0.00  
Top12   波奇             41567               42887               0                   0                   0.00  
Top13   Ash            21285               21502               0                   0                   0.00  
Top14   京极真            6744                5918                0                   0                   0.00  
Top15   你这只臭猫          99350               99569               0                   0                   0.00  
Top16   彦祖没有我潇         53185               46773               0                   0                   0.00  
Top17   我没文化           3007                3054                0                   0                   0.00  
Top18   阿司匹林           54097               55493               0                   0                   0.00  
Top19   小熊饼干           88278               86834               0                   0                   0.00  
