Rank  Nickname       今日击杀数               今日死亡数               新增击杀数               新增死亡数               击杀比   
Top1    你这只臭猫          96242               96638               27                  15                  1.80  
Top2    波奇             38330               40155               86                  62                  1.39  
Top3    Lucas          94359               74130               50                  46                  1.09  
Top4    餐具大师           119093              111621              51                  48                  1.06  
Top5    和明天相逢          20927               21508               55                  66                  0.83  
Top6    这很机车           47442               47219               32                  55                  0.58  
Top7    哞哞             26967               29817               0                   0                   0.00  
Top8    lilt           118437              96376               0                   0                   0.00  
Top9    Ari            42210               45765               0                   0                   0.00  
Top10   法兰西多士          85535               94993               0                   0                   0.00  
Top11   隗遗生            72759               60336               0                   0                   0.00  
Top12   小牛马            4549                5910                0                   0                   0.00  
Top13   bob            57300               52460               0                   0                   0.00  
Top14   Ash            21285               21502               0                   0                   0.00  
Top15   京极真            6574                5781                0                   0                   0.00  
Top16   彦祖没有我潇         52949               46349               0                   0                   0.00  
Top17   我没文化           29                  31                  0                   0                   0.00  
