Rank  Nickname                      今日击杀数               今日死亡数               新增击杀数               新增死亡数               击杀比   今日爆头数               新增爆头数               爆头率   今日伤害量               新增伤害量               今日MVP次数             新增MVP次数             
Top1    阿司匹林                          54310               55685               87                  51                  1.71  19352               34                  39%   8046146             10794               7214                15                  
Top2    bob                           58388               53429               93                  60                  1.55  23693               45                  48%   9297125             13187               9415                16                  
Top3    Lucas                         106628              84439               198                 141                 1.40  58886               106                 54%   14935551            27361               14806               22                  
Top4    小牛马                           8255                9935                142                 144                 0.99  3624                57                  40%   1229143             20604               986                 11                  
Top5    林北                            32487               31903               105                 107                 0.98  13615               50                  48%   4894096             14902               6411                12                  
Top6    这很机车                          58702               60038               123                 128                 0.96  26570               55                  45%   8660537             18131               4138                19                  
Top7    你这只臭猫                         104994              104630              64                  69                  0.93  45802               20                  31%   14904769            8043                9997                6                   
Top8    哞哞                            33049               36297               44                  61                  0.72  12632               18                  41%   4847539             6385                5885                3                   
Top9    餐具大师                          121850              114855              10                  15                  0.67  43132               5                   50%   17424285            1526                13643               0                   
Top10   lilt                          123095              100253              0                   0                   0.00  55705               0                   0%    17610725            0                   14554               0                   
Top11   Ari                           46917               50588               0                   0                   0.00  19802               0                   0%    6630918             0                   5396                0                   
Top12   法兰西多士                         86033               95473               0                   0                   0.00  39578               0                   0%    12523486            0                   11229               0                   
Top13   和明天相逢                         25455               26815               0                   0                   0.00  12658               0                   0%    3723910             0                   4413                0                   
Top14   隗遗生                           72844               60419               0                   0                   0.00  32837               0                   0%    10752521            0                   10943               0                   
Top15   波奇                            41983               43298               0                   0                   0.00  16299               0                   0%    5711013             0                   5404                0                   
Top16   Ash                           21285               21502               0                   0                   0.00  9075                0                   0%    3145930             0                   3019                0                   
Top17   京极真                           9763                8145                0                   0                   0.00  5678                0                   0%    1388890             0                   1052                0                   
Top18   彦祖没有我潇                        54520               48813               0                   0                   0.00  19288               0                   0%    8085631             0                   3378                0                   
Top19   我没文化                          3007                3054                0                   0                   0.00  1716                0                   0%    449552              0                   777                 0                   
Top20   小熊饼干                          88415               86964               0                   0                   0.00  32128               0                   0%    12672515            0                   10602               0                   
Top21   深藏Blue                        43626               38964               0                   0                   0.00  22749               0                   0%    6350506             0                   3915                0                   
Top22   大泡泡                           57405               58366               0                   0                   0.00  20554               0                   0%    8018770             0                   8202                0                   
Top23   axxibar                       17046               20716               0                   0                   0.00  5867                0                   0%    2574613             0                   1724                0                   
Top24   GhostFace                     96514               36931               0                   0                   0.00  51567               0                   0%    9964137             0                   6700                0                   
