Rank  Nickname       今日击杀数               今日死亡数               新增击杀数               新增死亡数               击杀比   
Top1    lilt           120583              98372               53                  32                  1.66  
Top2    Lucas          100727              79586               93                  78                  1.19  
Top3    波奇             41709               43033               121                 127                 0.95  
Top4    和明天相逢          24110               25291               103                 124                 0.83  
Top5    这很机车           53260               54220               87                  107                 0.81  
Top6    小牛马            6844                8310                22                  28                  0.79  
Top7    哞哞             28707               31952               0                   0                   0.00  
Top8    Ari            45339               49034               0                   0                   0.00  
Top9    法兰西多士          85725               95218               0                   0                   0.00  
Top10   隗遗生            72844               60419               0                   0                   0.00  
Top11   bob            57505               52704               0                   0                   0.00  
Top12   餐具大师           120451              113387              0                   0                   0.00  
Top13   Ash            21285               21502               0                   0                   0.00  
Top14   京极真            6744                5918                0                   0                   0.00  
Top15   你这只臭猫          99350               99569               0                   0                   0.00  
Top16   彦祖没有我潇         53185               46773               0                   0                   0.00  
Top17   我没文化           3007                3054                0                   0                   0.00  
Top18   阿司匹林           54097               55493               0                   0                   0.00  
Top19   小熊饼干           88278               86834               0                   0                   0.00  
