Rank  Nickname       今日击杀数               今日死亡数               新增击杀数               新增死亡数               击杀比   
Top1    bob            57394               52571               20                  9                   2.22  
Top2    波奇             39699               41357               36                  23                  1.57  
Top3    Ari            44376               48116               106                 76                  1.39  
Top4    你这只臭猫          98226               98541               83                  67                  1.24  
Top5    我没文化           1739                1721                123                 120                 1.02  
Top6    lilt           119588              97482               1                   1                   1.00  
Top7    这很机车           50711               51000               118                 124                 0.95  
Top8    和明天相逢          22317               23141               69                  94                  0.73  
Top9    Lucas          98158               77456               60                  85                  0.71  
Top10   哞哞             28371               31505               0                   0                   0.00  
Top11   法兰西多士          85704               95194               0                   0                   0.00  
Top12   隗遗生            72844               60419               0                   0                   0.00  
Top13   小牛马            5357                6623                0                   0                   0.00  
Top14   餐具大师           120374              113240              0                   0                   0.00  
Top15   Ash            21285               21502               0                   0                   0.00  
Top16   京极真            6585                5796                0                   0                   0.00  
Top17   彦祖没有我潇         53180               46741               0                   0                   0.00  
Top18   阿司匹林           54082               55474               0                   0                   0.00  
Top19   小熊饼干           88278               86834               0                   0                   0.00  
