Rank  Nickname       今日击杀数               今日死亡数               新增击杀数               新增死亡数               击杀比   
Top1    我没文化           2759                2839                29                  8                   3.62  
Top2    你这只臭猫          99078               99206               31                  28                  1.11  
Top3    波奇             41277               42628               164                 152                 1.08  
Top4    Lucas          99641               78746               135                 131                 1.03  
Top5    小牛马            6257                7501                118                 116                 1.02  
Top6    哞哞             28539               31766               108                 131                 0.82  
Top7    Ari            44800               48541               49                  70                  0.70  
Top8    这很机车           52306               52932               58                  87                  0.67  
Top9    和明天相逢          23061               24081               31                  58                  0.53  
Top10   lilt           120382              98240               0                   0                   0.00  
Top11   法兰西多士          85725               95218               0                   0                   0.00  
Top12   隗遗生            72844               60419               0                   0                   0.00  
Top13   bob            57436               52626               0                   0                   0.00  
Top14   餐具大师           120397              113270              0                   0                   0.00  
Top15   Ash            21285               21502               0                   0                   0.00  
Top16   京极真            6684                5859                0                   0                   0.00  
Top17   彦祖没有我潇         53185               46773               0                   0                   0.00  
Top18   阿司匹林           54097               55493               0                   0                   0.00  
Top19   小熊饼干           88278               86834               0                   0                   0.00  
