Rank  Nickname       今日击杀数               今日死亡数               新增击杀数               新增死亡数               击杀比   
Top1    波奇             40893               42294               91                  34                  2.68  
Top2    Ari            44751               48471               21                  16                  1.31  
Top3    餐具大师           120397              113270              5                   4                   1.25  
Top4    Lucas          99233               78418               68                  56                  1.21  
Top5    和明天相逢          22776               23738               42                  37                  1.14  
Top6    lilt           120366              98223               25                  26                  0.96  
Top7    这很机车           51464               51894               55                  58                  0.95  
Top8    小牛马            5746                7004                146                 172                 0.85  
Top9    哞哞             28402               31570               0                   0                   0.00  
Top10   法兰西多士          85725               95218               0                   0                   0.00  
Top11   隗遗生            72844               60419               0                   0                   0.00  
Top12   bob            57436               52626               0                   0                   0.00  
Top13   Ash            21285               21502               0                   0                   0.00  
Top14   京极真            6684                5859                0                   0                   0.00  
Top15   你这只臭猫          98531               98780               0                   0                   0.00  
Top16   彦祖没有我潇         53180               46741               0                   0                   0.00  
Top17   我没文化           2730                2831                0                   0                   0.00  
Top18   阿司匹林           54097               55493               0                   0                   0.00  
Top19   小熊饼干           88278               86834               0                   0                   0.00  
