Rank  Nickname       今日击杀数               今日死亡数               新增击杀数               新增死亡数               击杀比   
Top1    你这只臭猫          99047               99178               142                 78                  1.82  
Top2    Lucas          99506               78615               161                 101                 1.59  
Top3    波奇             41113               42476               141                 107                 1.32  
Top4    小牛马            6139                7385                64                  56                  1.14  
Top5    这很机车           52248               52845               185                 246                 0.75  
Top6    和明天相逢          23030               24023               93                  125                 0.74  
Top7    哞哞             28431               31635               29                  65                  0.45  
Top8    lilt           120382              98240               0                   0                   0.00  
Top9    Ari            44751               48471               0                   0                   0.00  
Top10   法兰西多士          85725               95218               0                   0                   0.00  
Top11   隗遗生            72844               60419               0                   0                   0.00  
Top12   bob            57436               52626               0                   0                   0.00  
Top13   餐具大师           120397              113270              0                   0                   0.00  
Top14   Ash            21285               21502               0                   0                   0.00  
Top15   京极真            6684                5859                0                   0                   0.00  
Top16   彦祖没有我潇         53185               46773               0                   0                   0.00  
Top17   我没文化           2730                2831                0                   0                   0.00  
Top18   阿司匹林           54097               55493               0                   0                   0.00  
Top19   小熊饼干           88278               86834               0                   0                   0.00  
