Rank  Nickname       今日击杀数               今日死亡数               新增击杀数               新增死亡数               击杀比   
Top1    波奇             41983               43298               39                  27                  1.44  
Top2    Lucas          104655              82923               66                  48                  1.38  
Top3    GhostFace      93207               34253               281                 209                 1.34  
Top4    lilt           121929              99361               63                  48                  1.31  
Top5    哞哞             31318               34565               130                 108                 1.20  
Top6    bob            57997               53170               29                  25                  1.16  
Top7    你这只臭猫          103653              103380              64                  57                  1.12  
Top8    深藏Blue         42645               38003               150                 151                 0.99  
Top9    和明天相逢          25246               26619               59                  71                  0.83  
Top10   Ari            46285               49932               0                   0                   0.00  
Top11   法兰西多士          85796               95280               0                   0                   0.00  
Top12   隗遗生            72844               60419               0                   0                   0.00  
Top13   小牛马            7895                9544                0                   0                   0.00  
Top14   餐具大师           120695              113722              0                   0                   0.00  
Top15   Ash            21285               21502               0                   0                   0.00  
Top16   这很机车           56052               57217               0                   0                   0.00  
Top17   京极真            9306                7759                0                   0                   0.00  
Top18   彦祖没有我潇         53832               47730               0                   0                   0.00  
Top19   我没文化           3007                3054                0                   0                   0.00  
Top20   阿司匹林           54130               55524               0                   0                   0.00  
Top21   小熊饼干           88296               86857               0                   0                   0.00  
Top22   大泡泡            57111               58149               0                   0                   0.00  
Top23   axxibar        17046               20716               0                   0                   0.00  
