Rank  Nickname       今日击杀数               今日死亡数               新增击杀数               新增死亡数               击杀比   
Top1    小牛马            7467                9020                25                  11                  2.27  
Top2    GhostFace      91037               32856               115                 68                  1.69  
Top3    你这只臭猫          100031              100265              42                  26                  1.62  
Top4    Lucas          102451              81098               161                 110                 1.46  
Top5    大泡泡            56396               57457               45                  46                  0.98  
Top6    深藏Blue         41592               36801               170                 211                 0.81  
Top7    lilt           120923              98644               28                  36                  0.78  
Top8    这很机车           54240               55461               174                 235                 0.74  
Top9    和明天相逢          24466               25834               74                  111                 0.67  
Top10   哞哞             29438               32746               0                   0                   0.00  
Top11   Ari            45651               49304               0                   0                   0.00  
Top12   法兰西多士          85778               95263               0                   0                   0.00  
Top13   隗遗生            72844               60419               0                   0                   0.00  
Top14   bob            57743               52985               0                   0                   0.00  
Top15   波奇             41913               43230               0                   0                   0.00  
Top16   餐具大师           120543              113482              0                   0                   0.00  
Top17   Ash            21285               21502               0                   0                   0.00  
Top18   京极真            7579                6670                0                   0                   0.00  
Top19   彦祖没有我潇         53185               46773               0                   0                   0.00  
Top20   我没文化           3007                3054                0                   0                   0.00  
Top21   阿司匹林           54097               55493               0                   0                   0.00  
Top22   小熊饼干           88278               86834               0                   0                   0.00  
Top23   axxibar        17046               20716               0                   0                   0.00  
