Rank  Nickname       今日击杀数               今日死亡数               新增击杀数               新增死亡数               击杀比   
Top1    这很机车           49198               49178               263                 150                 1.75  
Top2    Lucas          96555               75948               169                 129                 1.31  
Top3    我没文化           76                  67                  47                  36                  1.31  
Top4    波奇             38872               40568               147                 127                 1.16  
Top5    Ari            43462               47129               146                 143                 1.02  
Top6    哞哞             27658               30625               166                 180                 0.92  
Top7    和明天相逢          21487               22183               138                 161                 0.86  
Top8    你这只臭猫          97218               97613               24                  32                  0.75  
Top9    餐具大师           119714              112264              14                  19                  0.74  
Top10   bob            57341               52516               13                  21                  0.62  
Top11   lilt           119097              96947               0                   0                   0.00  
Top12   法兰西多士          85548               95007               0                   0                   0.00  
Top13   隗遗生            72759               60336               0                   0                   0.00  
Top14   小牛马            4700                6053                0                   0                   0.00  
Top15   Ash            21285               21502               0                   0                   0.00  
Top16   京极真            6574                5781                0                   0                   0.00  
Top17   彦祖没有我潇         52990               46392               0                   0                   0.00  
Top18   阿司匹林           53980               55347               0                   0                   0.00  
Top19   小熊饼干           88159               86700               0                   0                   0.00  
