Rank  Nickname       今日击杀数               今日死亡数               新增击杀数               新增死亡数               击杀比   
Top1    小牛马            5425                6684                30                  27                  1.11  
Top2    法兰西多士          85725               95218               21                  24                  0.88  
Top3    我没文化           2730                2831                380                 484                 0.79  
Top4    这很机车           51215               51628               116                 171                 0.68  
Top5    波奇             40359               41944               88                  179                 0.49  
Top6    Lucas          98822               78096               0                   0                   0.00  
Top7    哞哞             28371               31505               0                   0                   0.00  
Top8    lilt           119988              97899               0                   0                   0.00  
Top9    Ari            44632               48386               0                   0                   0.00  
Top10   和明天相逢          22523               23436               0                   0                   0.00  
Top11   隗遗生            72844               60419               0                   0                   0.00  
Top12   bob            57394               52571               0                   0                   0.00  
Top13   餐具大师           120392              113266              0                   0                   0.00  
Top14   Ash            21285               21502               0                   0                   0.00  
Top15   京极真            6585                5796                0                   0                   0.00  
Top16   你这只臭猫          98309               98605               0                   0                   0.00  
Top17   彦祖没有我潇         53180               46741               0                   0                   0.00  
Top18   阿司匹林           54097               55493               0                   0                   0.00  
Top19   小熊饼干           88278               86834               0                   0                   0.00  
