Rank  Nickname       今日击杀数               今日死亡数               新增击杀数               新增死亡数               击杀比   
Top1    你这只臭猫          98011               98394               103                 67                  1.54  
Top2    我没文化           1444                1426                225                 195                 1.15  
Top3    和明天相逢          22109               22840               43                  45                  0.96  
Top4    餐具大师           120308              113111              56                  98                  0.57  
Top5    Lucas          97899               77176               0                   0                   0.00  
Top6    哞哞             28350               31462               0                   0                   0.00  
Top7    lilt           119565              97461               0                   0                   0.00  
Top8    Ari            44248               48009               0                   0                   0.00  
Top9    法兰西多士          85704               95194               0                   0                   0.00  
Top10   隗遗生            72844               60419               0                   0                   0.00  
Top11   小牛马            5357                6623                0                   0                   0.00  
Top12   bob            57374               52562               0                   0                   0.00  
Top13   波奇             39591               41286               0                   0                   0.00  
Top14   Ash            21285               21502               0                   0                   0.00  
Top15   这很机车           50496               50755               0                   0                   0.00  
Top16   京极真            6585                5796                0                   0                   0.00  
Top17   彦祖没有我潇         53180               46741               0                   0                   0.00  
Top18   阿司匹林           54082               55474               0                   0                   0.00  
Top19   小熊饼干           88278               86834               0                   0                   0.00  
