Rank  Nickname       今日击杀数               今日死亡数               新增击杀数               新增死亡数               击杀比   
Top1    Lucas          100519              79406               23                  13                  1.77  
Top2    和明天相逢          23696               24811               100                 79                  1.27  
Top3    小牛马            6791                8255                20                  19                  1.05  
Top4    京极真            6744                5918                60                  59                  1.02  
Top5    哞哞             28707               31952               53                  53                  1.00  
Top6    你这只臭猫          99184               99327               22                  41                  0.54  
Top7    这很机车           52973               53873               14                  32                  0.44  
Top8    lilt           120506              98324               0                   0                   0.00  
Top9    Ari            45208               48948               0                   0                   0.00  
Top10   法兰西多士          85725               95218               0                   0                   0.00  
Top11   隗遗生            72844               60419               0                   0                   0.00  
Top12   bob            57505               52704               0                   2                   0.00  
Top13   波奇             41567               42887               0                   0                   0.00  
Top14   餐具大师           120416              113337              0                   0                   0.00  
Top15   Ash            21285               21502               0                   0                   0.00  
Top16   彦祖没有我潇         53185               46773               0                   0                   0.00  
Top17   我没文化           2980                3035                0                   0                   0.00  
Top18   阿司匹林           54097               55493               0                   0                   0.00  
Top19   小熊饼干           88278               86834               0                   0                   0.00  
