Rank  Nickname       今日击杀数               今日死亡数               新增击杀数               新增死亡数               击杀比   
Top1    我没文化           3007                3054                27                  19                  1.42  
Top2    和明天相逢          23934               25095               43                  60                  0.72  
Top3    Lucas          100579              79466               0                   0                   0.00  
Top4    哞哞             28707               31952               0                   0                   0.00  
Top5    lilt           120506              98324               0                   0                   0.00  
Top6    Ari            45247               48983               0                   0                   0.00  
Top7    法兰西多士          85725               95218               0                   0                   0.00  
Top8    隗遗生            72844               60419               0                   0                   0.00  
Top9    小牛马            6822                8282                0                   0                   0.00  
Top10   bob            57505               52704               0                   0                   0.00  
Top11   波奇             41567               42887               0                   0                   0.00  
Top12   餐具大师           120435              113372              0                   0                   0.00  
Top13   Ash            21285               21502               0                   0                   0.00  
Top14   这很机车           53021               53925               0                   0                   0.00  
Top15   京极真            6744                5918                0                   0                   0.00  
Top16   你这只臭猫          99350               99569               0                   0                   0.00  
Top17   彦祖没有我潇         53185               46773               0                   0                   0.00  
Top18   阿司匹林           54097               55493               0                   0                   0.00  
Top19   小熊饼干           88278               86834               0                   0                   0.00  
