Rank  Nickname       今日击杀数               今日死亡数               新增击杀数               新增死亡数               击杀比   
Top1    Lucas          100312              79252               105                 60                  1.75  
Top2    Ari            45172               48907               46                  31                  1.48  
Top3    小牛马            6684                8132                82                  66                  1.24  
Top4    你这只臭猫          99129               99248               51                  42                  1.21  
Top5    lilt           120409              98263               27                  23                  1.17  
Top6    和明天相逢          23581               24718               135                 157                 0.86  
Top7    这很机车           52838               53662               31                  44                  0.70  
Top8    哞哞             28539               31766               0                   0                   0.00  
Top9    法兰西多士          85725               95218               0                   0                   0.00  
Top10   隗遗生            72844               60419               0                   0                   0.00  
Top11   bob            57436               52626               0                   0                   0.00  
Top12   波奇             41471               42818               0                   0                   0.00  
Top13   餐具大师           120406              113306              0                   0                   0.00  
Top14   Ash            21285               21502               0                   0                   0.00  
Top15   京极真            6684                5859                0                   0                   0.00  
Top16   彦祖没有我潇         53185               46773               0                   0                   0.00  
Top17   我没文化           2980                3035                0                   0                   0.00  
Top18   阿司匹林           54097               55493               0                   0                   0.00  
Top19   小熊饼干           88278               86834               0                   0                   0.00  
