Rank  Nickname       今日击杀数               今日死亡数               新增击杀数               新增死亡数               击杀比   新增爆头数               爆头率   
Top1    bob            58227               53318               21                  12                  1.75  23618               62%   
Top2    Lucas          105957              83908               247                 172                 1.44  58490               51%   
Top3    你这只臭猫          104547              104249              10                  7                   1.43  45600               60%   
Top4    GhostFace      95631               36214               380                 276                 1.38  51011               63%   
Top5    林北             32058               31480               36                  28                  1.29  13402               53%   
Top6    哞哞             32833               36071               44                  35                  1.26  12536               27%   
Top7    这很机车           58057               59360               142                 131                 1.08  26244               65%   
Top8    餐具大师           121769              114665              60                  70                  0.86  43092               57%   
Top9    Ari            46801               50478               13                  17                  0.76  19759               54%   
Top10   彦祖没有我潇         54351               48556               112                 147                 0.76  19226               43%   
Top11   大泡泡            57266               58253               1                   2                   0.50  20494               100%  
Top12   lilt           122826              100047              0                   0                   0.00  55554               0%    
Top13   法兰西多士          86033               95473               0                   0                   0.00  39578               0%    
Top14   和明天相逢          25374               26728               0                   0                   0.00  12613               0%    
Top15   隗遗生            72844               60419               0                   0                   0.00  32837               0%    
Top16   小牛马            8078                9746                0                   0                   0.00  3550                0%    
Top17   波奇             41983               43298               0                   0                   0.00  16299               0%    
Top18   Ash            21285               21502               0                   0                   0.00  9075                0%    
Top19   京极真            9763                8145                0                   0                   0.00  5678                0%    
Top20   我没文化           3007                3054                0                   0                   0.00  1716                0%    
Top21   阿司匹林           54196               55598               0                   0                   0.00  19306               0%    
Top22   小熊饼干           88415               86964               0                   0                   0.00  32128               0%    
Top23   深藏Blue         43443               38751               0                   0                   0.00  22618               0%    
Top24   axxibar        17046               20716               0                   0                   0.00  5867                0%    
