Rank  Nickname       今日击杀数               新增击杀数               
Top1    京极真            6277                6277                
Top2    和明天相逢          20641               209                 
Top3    Lucas          93433               166                 
Top4    餐具大师           118876              158                 
Top5    Ari            41822               101                 
Top6    法兰西多士          85535               48                  
Top7    bob            57102               40                  
Top8    哞哞             26768               0                   
Top9    lilt           118298              0                   
Top10   隗遗生            72759               0                   
Top11   小牛马            4549                0                   
Top12   波奇             37734               0                   
Top13   Ash            21285               0                   
Top14   这很机车           47290               0                   
