Rank  Nickname       今日击杀数               今日死亡数               新增击杀数               新增死亡数               击杀比   
Top1    大泡泡            56787               57815               17                  10                  1.70  
Top2    Lucas          103709              82061               84                  53                  1.58  
Top3    lilt           121393              98977               116                 81                  1.43  
Top4    GhostFace      92246               33606               117                 83                  1.41  
Top5    京极真            8132                7038                127                 97                  1.31  
Top6    Ari            45980               49595               13                  11                  1.18  
Top7    法兰西多士          85796               95280               18                  17                  1.06  
Top8    深藏Blue         42107               37391               24                  24                  1.00  
Top9    你这只臭猫          102022              101629              101                 103                 0.98  
Top10   哞哞             30166               33469               164                 172                 0.95  
Top11   这很机车           55006               56232               228                 257                 0.89  
Top12   彦祖没有我潇         53466               47171               72                  84                  0.86  
Top13   餐具大师           120587              113578              15                  44                  0.34  
Top14   和明天相逢          24892               26234               0                   0                   0.00  
Top15   隗遗生            72844               60419               0                   0                   0.00  
Top16   小牛马            7886                9530                0                   0                   0.00  
Top17   bob            57903               53085               0                   0                   0.00  
Top18   波奇             41944               43271               0                   0                   0.00  
Top19   Ash            21285               21502               0                   0                   0.00  
Top20   我没文化           3007                3054                0                   0                   0.00  
Top21   阿司匹林           54130               55524               0                   0                   0.00  
Top22   小熊饼干           88296               86857               0                   0                   0.00  
Top23   axxibar        17046               20716               0                   0                   0.00  
