Rank  Nickname       今日击杀数               今日死亡数               新增击杀数               新增死亡数               击杀比   
Top1    京极真            6684                5859                99                  63                  1.57  
Top2    波奇             40400               41973               41                  29                  1.41  
Top3    这很机车           51270               51671               55                  43                  1.28  
Top4    Lucas          98962               78216               140                 120                 1.17  
Top5    小牛马            5502                6750                77                  66                  1.17  
Top6    lilt           120124              98025               136                 126                 1.08  
Top7    和明天相逢          22593               23542               70                  106                 0.66  
Top8    哞哞             28371               31505               0                   0                   0.00  
Top9    Ari            44632               48386               0                   0                   0.00  
Top10   法兰西多士          85725               95218               0                   0                   0.00  
Top11   隗遗生            72844               60419               0                   0                   0.00  
Top12   bob            57394               52571               0                   0                   0.00  
Top13   餐具大师           120392              113266              0                   0                   0.00  
Top14   Ash            21285               21502               0                   0                   0.00  
Top15   你这只臭猫          98309               98605               0                   0                   0.00  
Top16   彦祖没有我潇         53180               46741               0                   0                   0.00  
Top17   我没文化           2730                2831                0                   0                   0.00  
Top18   阿司匹林           54097               55493               0                   0                   0.00  
Top19   小熊饼干           88278               86834               0                   0                   0.00  
