Rank  Nickname                      今日击杀数               今日死亡数               新增击杀数               新增死亡数               击杀比   今日爆头数               新增爆头数               爆头率   今日伤害量               新增伤害量               今日MVP次数             新增MVP次数             
Top1    Lucas                         106430              84298               109                 73                  1.49  58780               81                  74%   14908190            25409               14784               14784               
Top2    lilt                          123095              100253              136                 96                  1.42  55705               66                  49%   17610725            26363               14554               14554               
Top3    bob                           58295               53369               68                  51                  1.33  23648               30                  44%   9283938             9558                9399                9399                
Top4    Ari                           46917               50588               33                  25                  1.32  19802               11                  33%   6630918             6440                5396                5396                
Top5    大泡泡                           57405               58366               139                 113                 1.23  20554               60                  43%   8018770             17168               8202                8202                
Top6    哞哞                            33005               36236               74                  61                  1.21  12614               31                  42%   4841154             17480               5882                5882                
Top7    GhostFace                     96514               36931               229                 202                 1.13  51567               123                 54%   9964137             50853               6700                6700                
Top8    和明天相逢                         25455               26815               68                  71                  0.96  12658               39                  57%   3723910             9920                4413                4413                
Top9    你这只臭猫                         104930              104561              25                  26                  0.96  45782               10                  40%   14896726            18166               9991                9991                
Top10   深藏Blue                        43626               38964               137                 165                 0.83  22749               107                 78%   6350506             21877               3915                3915                
Top11   林北                            32382               31796               106                 129                 0.82  13565               61                  58%   4879194             18925               6399                6399                
Top12   彦祖没有我潇                        54520               48813               103                 132                 0.78  19288               34                  33%   8085631             16605               3378                3378                
Top13   小牛马                           8113                9791                16                  21                  0.76  3567                9                   56%   1208539             2611                975                 975                 
Top14   这很机车                          58579               59910               91                  152                 0.60  26515               51                  56%   8642406             47975               4119                4119                
Top15   法兰西多士                         86033               95473               0                   0                   0.00  39578               0                   0%    12523486            0                   11229               11229               
Top16   隗遗生                           72844               60419               0                   0                   0.00  32837               0                   0%    10752521            0                   10943               10943               
Top17   波奇                            41983               43298               0                   0                   0.00  16299               0                   0%    5711013             0                   5404                5404                
Top18   餐具大师                          121840              114840              0                   0                   0.00  43127               0                   0%    17422759            8175                13643               13643               
Top19   Ash                           21285               21502               0                   0                   0.00  9075                0                   0%    3145930             0                   3019                3019                
Top20   京极真                           9763                8145                0                   0                   0.00  5678                0                   0%    1388890             0                   1052                1052                
Top21   我没文化                          3007                3054                0                   0                   0.00  1716                0                   0%    449552              0                   777                 777                 
Top22   阿司匹林                          54223               55634               0                   0                   0.00  19318               0                   0%    8035352             0                   7199                7199                
Top23   小熊饼干                          88415               86964               0                   0                   0.00  32128               0                   0%    12672515            0                   10602               10602               
Top24   axxibar                       17046               20716               0                   0                   0.00  5867                0                   0%    2574613             0                   1724                1724                
