Rank  Nickname       今日击杀数               今日死亡数               新增击杀数               新增死亡数               击杀比   
Top1    bob            58206               53306               72                  40                  1.80  
Top2    lilt           122677              99959               106                 65                  1.63  
Top3    Lucas          105457              83510               189                 117                 1.62  
Top4    这很机车           57534               58885               78                  52                  1.50  
Top5    深藏Blue         43280               38610               134                 107                 1.25  
Top6    法兰西多士          86033               95473               212                 176                 1.20  
Top7    哞哞             32677               35884               118                 111                 1.06  
Top8    你这只臭猫          104255              103969              35                  35                  1.00  
Top9    GhostFace      95001               35764               233                 243                 0.96  
Top10   Ari            46650               50322               12                  14                  0.86  
Top11   彦祖没有我潇         54064               48088               29                  38                  0.76  
Top12   餐具大师           121631              114530              46                  61                  0.75  
Top13   和明天相逢          25357               26724               0                   0                   0.00  
Top14   隗遗生            72844               60419               0                   0                   0.00  
Top15   小牛马            8078                9746                0                   0                   0.00  
Top16   波奇             41983               43298               0                   0                   0.00  
Top17   Ash            21285               21502               0                   0                   0.00  
Top18   京极真            9763                8145                0                   0                   0.00  
Top19   我没文化           3007                3054                0                   0                   0.00  
Top20   阿司匹林           54130               55524               0                   0                   0.00  
Top21   小熊饼干           88415               86964               0                   0                   0.00  
Top22   大泡泡            57156               58177               0                   0                   0.00  
Top23   axxibar        17046               20716               0                   0                   0.00  
