Rank  Nickname       今日击杀数               今日死亡数               新增击杀数               新增死亡数               击杀比   
Top1    你这只臭猫          98095               98438               84                  44                  1.91  
Top2    波奇             39614               41301               23                  15                  1.53  
Top3    Lucas          97936               77210               37                  34                  1.09  
Top4    我没文化           1547                1521                103                 95                  1.08  
Top5    这很机车           50537               50809               41                  54                  0.76  
Top6    Ari            44270               48040               22                  31                  0.71  
Top7    和明天相逢          22150               22908               41                  68                  0.60  
Top8    哞哞             28371               31505               21                  43                  0.49  
Top9    lilt           119565              97461               0                   0                   0.00  
Top10   法兰西多士          85704               95194               0                   0                   0.00  
Top11   隗遗生            72844               60419               0                   0                   0.00  
Top12   小牛马            5357                6623                0                   0                   0.00  
Top13   bob            57374               52562               0                   0                   0.00  
Top14   餐具大师           120308              113111              0                   0                   0.00  
Top15   Ash            21285               21502               0                   0                   0.00  
Top16   京极真            6585                5796                0                   0                   0.00  
Top17   彦祖没有我潇         53180               46741               0                   0                   0.00  
Top18   阿司匹林           54082               55474               0                   0                   0.00  
Top19   小熊饼干           88278               86834               0                   0                   0.00  
