Rank  Nickname       今日击杀数               今日死亡数               新增击杀数               新增死亡数               击杀比   
Top1    和明天相逢          20987               21564               60                  56                  1.07  
Top2    Lucas          94512               74274               153                 144                 1.06  
Top3    Ari            42322               45880               112                 115                 0.97  
Top4    你这只臭猫          96560               97068               318                 430                 0.74  
Top5    哞哞             26967               29817               0                   0                   0.00  
Top6    lilt           118437              96376               0                   0                   0.00  
Top7    法兰西多士          85535               94993               0                   0                   0.00  
Top8    隗遗生            72759               60336               0                   0                   0.00  
Top9    小牛马            4549                5910                0                   0                   0.00  
Top10   bob            57300               52460               0                   0                   0.00  
Top11   波奇             38330               40155               0                   0                   0.00  
Top12   餐具大师           119093              111621              0                   0                   0.00  
Top13   Ash            21285               21502               0                   0                   0.00  
Top14   这很机车           47442               47219               0                   0                   0.00  
Top15   京极真            6574                5781                0                   0                   0.00  
Top16   彦祖没有我潇         52949               46349               0                   0                   0.00  
Top17   我没文化           29                  31                  0                   0                   0.00  
