Rank  Nickname       今日击杀数               今日死亡数               新增击杀数               新增死亡数               击杀比   
Top1    你这只臭猫          99613               99885               26                  7                   3.71  
Top2    Lucas          101722              80549               64                  45                  1.42  
Top3    Ari            45421               49097               41                  30                  1.37  
Top4    京极真            7011                6151                134                 104                 1.29  
Top5    小牛马            7111                8584                57                  53                  1.08  
Top6    bob            57641               52854               13                  17                  0.76  
Top7    这很机车           53666               54762               23                  46                  0.50  
Top8    哞哞             29082               32332               0                   0                   0.00  
Top9    lilt           120725              98463               0                   0                   0.00  
Top10   法兰西多士          85757               95248               0                   0                   0.00  
Top11   和明天相逢          24222               25516               0                   0                   0.00  
Top12   隗遗生            72844               60419               0                   0                   0.00  
Top13   波奇             41811               43120               0                   0                   0.00  
Top14   餐具大师           120513              113453              0                   0                   0.00  
Top15   Ash            21285               21502               0                   0                   0.00  
Top16   彦祖没有我潇         53185               46773               0                   0                   0.00  
Top17   我没文化           3007                3054                0                   0                   0.00  
Top18   阿司匹林           54097               55493               0                   0                   0.00  
Top19   小熊饼干           88278               86834               0                   0                   0.00  
