Rank  Nickname       今日击杀数               今日死亡数               新增击杀数               新增死亡数               击杀比   
Top1    哞哞             29936               33225               18                  12                  1.50  
Top2    京极真            8005                6941                129                 86                  1.50  
Top3    GhostFace      91947               33399               36                  27                  1.33  
Top4    你这只臭猫          101108              101252              154                 117                 1.32  
Top5    Lucas          103523              81907               183                 155                 1.18  
Top6    lilt           121255              98866               45                  42                  1.07  
Top7    深藏Blue         42059               37350               37                  39                  0.95  
Top8    大泡泡            56756               57795               70                  77                  0.91  
Top9    Ari            45946               49554               127                 149                 0.85  
Top10   小牛马            7843                9464                27                  32                  0.84  
Top11   这很机车           54670               55885               76                  94                  0.81  
Top12   小熊饼干           88296               86857               18                  23                  0.78  
Top13   波奇             41944               43271               31                  41                  0.76  
Top14   法兰西多士          85778               95263               0                   0                   0.00  
Top15   和明天相逢          24781               26106               0                   0                   0.00  
Top16   隗遗生            72844               60419               0                   0                   0.00  
Top17   bob            57903               53085               0                   0                   0.00  
Top18   餐具大师           120572              113534              0                   0                   0.00  
Top19   Ash            21285               21502               0                   0                   0.00  
Top20   彦祖没有我潇         53394               47087               0                   0                   0.00  
Top21   我没文化           3007                3054                0                   0                   0.00  
Top22   阿司匹林           54130               55524               0                   0                   0.00  
Top23   axxibar        17046               20716               0                   0                   0.00  
