Rank  Nickname       今日击杀数               今日死亡数               新增击杀数               新增死亡数               击杀比   
Top1    Ari            44569               48317               24                  18                  1.33  
Top2    我没文化           2350                2347                162                 142                 1.14  
Top3    Lucas          98765               78039               241                 233                 1.03  
Top4    lilt           119946              97853               154                 161                 0.96  
Top5    这很机车           51032               51405               153                 169                 0.91  
Top6    和明天相逢          22472               23349               47                  67                  0.70  
Top7    餐具大师           120392              113266              18                  26                  0.69  
Top8    哞哞             28371               31505               0                   0                   0.00  
Top9    法兰西多士          85704               95194               0                   0                   0.00  
Top10   隗遗生            72844               60419               0                   0                   0.00  
Top11   小牛马            5357                6623                0                   0                   0.00  
Top12   bob            57394               52571               0                   0                   0.00  
Top13   波奇             40132               41655               0                   0                   0.00  
Top14   Ash            21285               21502               0                   0                   0.00  
Top15   京极真            6585                5796                0                   0                   0.00  
Top16   你这只臭猫          98309               98605               0                   0                   0.00  
Top17   彦祖没有我潇         53180               46741               0                   0                   0.00  
Top18   阿司匹林           54097               55493               0                   0                   0.00  
Top19   小熊饼干           88278               86834               0                   0                   0.00  
