Rank  Nickname       今日击杀数               今日死亡数               新增击杀数               新增死亡数               击杀比   
Top1    GhostFace      94440               35219               153                 118                 1.30  
Top2    餐具大师           121344              114212              52                  41                  1.27  
Top3    大泡泡            57156               58177               12                  10                  1.20  
Top4    京极真            9763                8145                106                 95                  1.12  
Top5    小牛马            7985                9636                12                  11                  1.09  
Top6    哞哞             32429               35610               78                  72                  1.08  
Top7    lilt           122367              99677               56                  52                  1.08  
Top8    Lucas          104697              82975               2                   2                   1.00  
Top9    你这只臭猫          104070              103786              31                  35                  0.89  
Top10   Ari            46565               50233               44                  50                  0.88  
Top11   这很机车           56812               58140               30                  89                  0.34  
Top12   法兰西多士          85796               95280               0                   0                   0.00  
Top13   和明天相逢          25357               26724               0                   0                   0.00  
Top14   隗遗生            72844               60419               0                   0                   0.00  
Top15   bob            58134               53266               0                   0                   0.00  
Top16   波奇             41983               43298               0                   0                   0.00  
Top17   Ash            21285               21502               0                   0                   0.00  
Top18   彦祖没有我潇         54005               47977               0                   0                   0.00  
Top19   我没文化           3007                3054                0                   0                   0.00  
Top20   阿司匹林           54130               55524               0                   0                   0.00  
Top21   小熊饼干           88415               86964               0                   0                   0.00  
Top22   深藏Blue         43146               38503               0                   0                   0.00  
Top23   axxibar        17046               20716               0                   0                   0.00  
