Rank  Nickname       今日击杀数               今日死亡数               新增击杀数               新增死亡数               击杀比   
Top1    这很机车           56782               58051               11                  5                   2.20  
Top2    餐具大师           121292              114171              112                 77                  1.45  
Top3    你这只臭猫          104039              103751              40                  28                  1.43  
Top4    GhostFace      94287               35101               247                 223                 1.11  
Top5    lilt           122311              99625               28                  27                  1.04  
Top6    哞哞             32351               35538               59                  69                  0.86  
Top7    Ari            46521               50183               116                 137                 0.85  
Top8    小牛马            7973                9625                9                   14                  0.64  
Top9    Lucas          104695              82973               0                   0                   0.00  
Top10   法兰西多士          85796               95280               0                   0                   0.00  
Top11   和明天相逢          25357               26724               0                   0                   0.00  
Top12   隗遗生            72844               60419               0                   0                   0.00  
Top13   bob            58134               53266               0                   0                   0.00  
Top14   波奇             41983               43298               0                   0                   0.00  
Top15   Ash            21285               21502               0                   0                   0.00  
Top16   京极真            9657                8050                0                   0                   0.00  
Top17   彦祖没有我潇         54005               47977               0                   0                   0.00  
Top18   我没文化           3007                3054                0                   0                   0.00  
Top19   阿司匹林           54130               55524               0                   0                   0.00  
Top20   小熊饼干           88415               86964               0                   0                   0.00  
Top21   深藏Blue         43146               38503               0                   0                   0.00  
Top22   大泡泡            57144               58167               0                   0                   0.00  
Top23   axxibar        17046               20716               0                   0                   0.00  
