Rank  Nickname       今日击杀数               今日死亡数               新增击杀数               新增死亡数               击杀比   
Top1    你这只臭猫          96754               97223               20                  14                  1.43  
Top2    Lucas          95195               74850               32                  29                  1.10  
Top3    小牛马            4601                5959                52                  49                  1.06  
Top4    法兰西多士          85548               95007               13                  14                  0.93  
Top5    和明天相逢          21129               21745               35                  38                  0.92  
Top6    餐具大师           119309              111826              76                  90                  0.84  
Top7    这很机车           48179               48043               32                  52                  0.62  
Top8    哞哞             27275               30172               0                   0                   0.00  
Top9    lilt           118806              96676               0                   0                   0.00  
Top10   Ari            42637               46236               0                   0                   0.00  
Top11   隗遗生            72759               60336               0                   0                   0.00  
Top12   bob            57328               52495               0                   0                   0.00  
Top13   波奇             38495               40274               0                   0                   0.00  
Top14   Ash            21285               21502               0                   0                   0.00  
Top15   京极真            6574                5781                0                   0                   0.00  
Top16   彦祖没有我潇         52949               46349               0                   0                   0.00  
Top17   我没文化           29                  31                  0                   0                   0.00  
Top18   阿司匹林           53801               55148               0                   0                   0.00  
