Rank  Nickname                      今日击杀数               今日死亡数               新增击杀数               新增死亡数               击杀比   今日爆头数               新增爆头数               爆头率   今日伤害量               新增伤害量               今日MVP次数             新增MVP次数             
Top1    lilt                          123305              100394              130                 64                  2.03  55805               59                  45%   17640447            17448               14578               15                  
Top2    Lucas                         106746              84540               40                  36                  1.11  58945               15                  38%   14952754            5460                14832               9                   
Top3    这很机车                          59000               60316               250                 241                 1.04  26714               119                 48%   8702655             35480               4170                25                  
Top4    哞哞                            33091               36341               24                  24                  1.00  12646               8                   33%   4852754             2892                5891                2                   
Top5    GhostFace                     96554               36971               23                  23                  1.00  51590               11                  48%   9970177             3305                6707                3                   
Top6    Ari                           46990               50661               46                  50                  0.92  19832               20                  43%   6639943             5553                5406                8                   
Top7    林北                            32602               32034               49                  66                  0.74  13662               20                  41%   4910173             7595                6428                8                   
Top8    法兰西多士                         86033               95473               0                   0                   0.00  39578               0                   0%    12523486            0                   11229               0                   
Top9    和明天相逢                         25455               26815               0                   0                   0.00  12658               0                   0%    3723910             0                   4413                0                   
Top10   隗遗生                           72844               60419               0                   0                   0.00  32837               0                   0%    10752521            0                   10943               0                   
Top11   小牛马                           8255                9935                0                   0                   0.00  3624                0                   0%    1229143             0                   986                 0                   
Top12   bob                           58388               53429               0                   0                   0.00  23693               0                   0%    9297125             0                   9415                0                   
Top13   波奇                            41983               43298               0                   0                   0.00  16299               0                   0%    5711013             0                   5404                0                   
Top14   餐具大师                          121858              114872              0                   0                   0.00  43137               0                   0%    17425767            0                   13644               0                   
Top15   Ash                           21285               21502               0                   0                   0.00  9075                0                   0%    3145930             0                   3019                0                   
Top16   京极真                           9763                8145                0                   0                   0.00  5678                0                   0%    1388890             0                   1052                0                   
Top17   你这只臭猫                         105041              104681              0                   0                   0.00  45828               0                   0%    14911656            0                   10003               0                   
Top18   彦祖没有我潇                        54520               48813               0                   0                   0.00  19288               0                   0%    8085631             0                   3378                0                   
Top19   我没文化                          3007                3054                0                   0                   0.00  1716                0                   0%    449552              0                   777                 0                   
Top20   阿司匹林                          54310               55685               0                   0                   0.00  19352               0                   0%    8046146             0                   7214                0                   
Top21   小熊饼干                          88415               86964               0                   0                   0.00  32128               0                   0%    12672515            0                   10602               0                   
Top22   深藏Blue                        43626               38964               0                   0                   0.00  22749               0                   0%    6350506             0                   3915                0                   
Top23   大泡泡                           57405               58366               0                   0                   0.00  20554               0                   0%    8018770             0                   8202                0                   
Top24   axxibar                       17046               20716               0                   0                   0.00  5867                0                   0%    2574613             0                   1724                0                   
