Rank  Nickname       今日击杀数               今日死亡数               新增击杀数               新增死亡数               击杀比   
Top1    波奇             38725               40441               61                  39                  1.56  
Top2    lilt           119097              96947               72                  50                  1.44  
Top3    Ari            43316               46986               138                 118                 1.17  
Top4    Lucas          96386               75819               128                 118                 1.08  
Top5    阿司匹林           53980               55347               45                  44                  1.02  
Top6    这很机车           48935               49028               53                  53                  1.00  
Top7    餐具大师           119700              112245              90                  117                 0.77  
Top8    哞哞             27492               30445               0                   0                   0.00  
Top9    法兰西多士          85548               95007               0                   0                   0.00  
Top10   和明天相逢          21349               22022               0                   0                   0.00  
Top11   隗遗生            72759               60336               0                   0                   0.00  
Top12   小牛马            4700                6053                0                   0                   0.00  
Top13   bob            57328               52495               0                   0                   0.00  
Top14   Ash            21285               21502               0                   0                   0.00  
Top15   京极真            6574                5781                0                   0                   0.00  
Top16   你这只臭猫          97194               97581               0                   0                   0.00  
Top17   彦祖没有我潇         52990               46392               0                   0                   0.00  
Top18   我没文化           29                  31                  0                   0                   0.00  
Top19   小熊饼干           88159               86700               0                   0                   0.00  
