Rank  Nickname       今日击杀数               今日死亡数               新增击杀数               新增死亡数               击杀比   
Top1    Lucas          98372               77685               152                 151                 1.01  
Top2    Ari            44474               48221               69                  69                  1.00  
Top3    我没文化           2055                2078                289                 326                 0.89  
Top4    这很机车           50851               51185               102                 120                 0.85  
Top5    和明天相逢          22354               23194               37                  53                  0.70  
Top6    lilt           119727              97652               70                  109                 0.64  
Top7    哞哞             28371               31505               0                   0                   0.00  
Top8    法兰西多士          85704               95194               0                   0                   0.00  
Top9    隗遗生            72844               60419               0                   0                   0.00  
Top10   小牛马            5357                6623                0                   0                   0.00  
Top11   bob            57394               52571               0                   0                   0.00  
Top12   波奇             39861               41448               0                   0                   0.00  
Top13   餐具大师           120374              113240              0                   0                   0.00  
Top14   Ash            21285               21502               0                   0                   0.00  
Top15   京极真            6585                5796                0                   0                   0.00  
Top16   你这只臭猫          98258               98563               0                   0                   0.00  
Top17   彦祖没有我潇         53180               46741               0                   0                   0.00  
Top18   阿司匹林           54082               55474               0                   0                   0.00  
Top19   小熊饼干           88278               86834               0                   0                   0.00  
