Rank  Nickname       今日击杀数               新增击杀数               
Top1    你这只臭猫          96139               96139               
Top2    彦祖没有我潇洒        52787               52787               
Top3    Lucas          93678               131                 
Top4    Ari            42041               113                 
Top5    餐具大师           119010              89                  
Top6    波奇             37866               52                  
Top7    哞哞             26768               0                   
Top8    lilt           118298              0                   
Top9    法兰西多士          85535               0                   
Top10   和明天相逢          20659               0                   
Top11   隗遗生            72759               0                   
Top12   小牛马            4549                0                   
Top13   bob            57102               0                   
Top14   Ash            21285               0                   
Top15   这很机车           47290               0                   
Top16   京极真            6277                0                   
