Rank  Nickname       今日击杀数               今日死亡数               新增击杀数               新增死亡数               击杀比   
Top1    lilt           119792              97692               65                  40                  1.62  
Top2    波奇             40132               41655               271                 207                 1.31  
Top3    Lucas          98524               77806               152                 121                 1.26  
Top4    你这只臭猫          98309               98605               51                  42                  1.21  
Top5    我没文化           2188                2205                133                 127                 1.05  
Top6    Ari            44545               48299               71                  78                  0.91  
Top7    和明天相逢          22425               23282               71                  88                  0.81  
Top8    阿司匹林           54097               55493               15                  19                  0.79  
Top9    这很机车           50879               51236               28                  51                  0.55  
Top10   哞哞             28371               31505               0                   0                   0.00  
Top11   法兰西多士          85704               95194               0                   0                   0.00  
Top12   隗遗生            72844               60419               0                   0                   0.00  
Top13   小牛马            5357                6623                0                   0                   0.00  
Top14   bob            57394               52571               0                   0                   0.00  
Top15   餐具大师           120374              113240              0                   0                   0.00  
Top16   Ash            21285               21502               0                   0                   0.00  
Top17   京极真            6585                5796                0                   0                   0.00  
Top18   彦祖没有我潇         53180               46741               0                   0                   0.00  
Top19   小熊饼干           88278               86834               0                   0                   0.00  
