Rank  Nickname       今日击杀数               今日死亡数               新增击杀数               新增死亡数               击杀比   
Top1    波奇             38515               40288               20                  14                  1.43  
Top2    lilt           118915              96753               109                 77                  1.42  
Top3    你这只臭猫          96952               97382               127                 103                 1.23  
Top4    餐具大师           119393              111901              84                  75                  1.12  
Top5    Lucas          95584               75187               246                 222                 1.11  
Top6    小牛马            4700                6053                99                  94                  1.05  
Top7    Ari            42768               46394               131                 158                 0.83  
Top8    这很机车           48490               48452               180                 237                 0.76  
Top9    哞哞             27390               30325               115                 153                 0.75  
Top10   阿司匹林           53876               55230               9                   17                  0.53  
Top11   法兰西多士          85548               95007               0                   0                   0.00  
Top12   和明天相逢          21181               21831               0                   0                   0.00  
Top13   隗遗生            72759               60336               0                   0                   0.00  
Top14   bob            57328               52495               0                   0                   0.00  
Top15   Ash            21285               21502               0                   0                   0.00  
Top16   京极真            6574                5781                0                   0                   0.00  
Top17   彦祖没有我潇         52949               46349               0                   0                   0.00  
Top18   我没文化           29                  31                  0                   0                   0.00  
