Rank  Nickname       今日击杀数               今日死亡数               新增击杀数               新增死亡数               击杀比   
Top1    餐具大师           121180              114094              122                 88                  1.39  
Top2    bob            58134               53266               63                  47                  1.34  
Top3    GhostFace      94040               34878               308                 250                 1.23  
Top4    Ari            46405               50046               22                  18                  1.22  
Top5    深藏Blue         43146               38503               124                 110                 1.13  
Top6    lilt           122283              99598               18                  17                  1.06  
Top7    哞哞             32292               35469               195                 203                 0.96  
Top8    京极真            9657                8050                11                  16                  0.69  
Top9    你这只臭猫          103999              103723              46                  71                  0.65  
Top10   彦祖没有我潇         54005               47977               81                  125                 0.65  
Top11   这很机车           56771               58046               94                  165                 0.57  
Top12   Lucas          104695              82973               0                   0                   0.00  
Top13   法兰西多士          85796               95280               0                   0                   0.00  
Top14   和明天相逢          25357               26724               0                   0                   0.00  
Top15   隗遗生            72844               60419               0                   0                   0.00  
Top16   小牛马            7964                9611                0                   0                   0.00  
Top17   波奇             41983               43298               0                   0                   0.00  
Top18   Ash            21285               21502               0                   0                   0.00  
Top19   我没文化           3007                3054                0                   0                   0.00  
Top20   阿司匹林           54130               55524               0                   0                   0.00  
Top21   小熊饼干           88415               86964               0                   0                   0.00  
Top22   大泡泡            57144               58167               0                   0                   0.00  
Top23   axxibar        17046               20716               0                   0                   0.00  
