Rank  Nickname       今日击杀数               今日死亡数               新增击杀数               新增死亡数               击杀比   
Top1    波奇             39591               41286               56                  46                  1.22  
Top2    和明天相逢          22066               22795               24                  20                  1.20  
Top3    你这只臭猫          97908               98327               322                 307                 1.05  
Top4    哞哞             28350               31462               125                 129                 0.97  
Top5    我没文化           1219                1231                20                  22                  0.91  
Top6    小牛马            5357                6623                75                  85                  0.88  
Top7    这很机车           50496               50755               40                  49                  0.82  
Top8    Lucas          97899               77176               30                  38                  0.79  
Top9    Ari            44248               48009               16                  34                  0.47  
Top10   餐具大师           120252              113013              34                  74                  0.46  
Top11   lilt           119565              97461               0                   0                   0.00  
Top12   法兰西多士          85704               95194               0                   0                   0.00  
Top13   隗遗生            72844               60419               0                   0                   0.00  
Top14   bob            57374               52562               0                   0                   0.00  
Top15   Ash            21285               21502               0                   0                   0.00  
Top16   京极真            6585                5796                0                   0                   0.00  
Top17   彦祖没有我潇         53180               46741               0                   0                   0.00  
Top18   阿司匹林           54082               55474               0                   0                   0.00  
Top19   小熊饼干           88278               86834               0                   0                   0.00  
