Rank  Nickname       今日击杀数               今日死亡数               新增击杀数               新增死亡数               击杀比   
Top1    Lucas          105550              83545               93                  35                  2.66  
Top2    lilt           122727              99988               50                  29                  1.72  
Top3    GhostFace      95131               35848               130                 84                  1.55  
Top4    大泡泡            57265               58251               109                 74                  1.47  
Top5    餐具大师           121709              114595              78                  65                  1.20  
Top6    深藏Blue         43443               38751               163                 141                 1.16  
Top7    林北             31822               31257               31822               31257               1.02  
Top8    这很机车           57776               59131               242                 246                 0.98  
Top9    你这只臭猫          104351              104071              96                  102                 0.94  
Top10   阿司匹林           54196               55598               66                  74                  0.89  
Top11   Ari            46693               50372               43                  50                  0.86  
Top12   哞哞             32743               35987               66                  103                 0.64  
Top13   彦祖没有我潇         54179               48291               115                 203                 0.57  
Top14   法兰西多士          86033               95473               0                   0                   0.00  
Top15   和明天相逢          25357               26724               0                   0                   0.00  
Top16   隗遗生            72844               60419               0                   0                   0.00  
Top17   小牛马            8078                9746                0                   0                   0.00  
Top18   bob            58206               53306               0                   0                   0.00  
Top19   波奇             41983               43298               0                   0                   0.00  
Top20   Ash            21285               21502               0                   0                   0.00  
Top21   京极真            9763                8145                0                   0                   0.00  
Top22   我没文化           3007                3054                0                   0                   0.00  
Top23   小熊饼干           88415               86964               0                   0                   0.00  
Top24   axxibar        17046               20716               0                   0                   0.00  
