Rank  Nickname       今日击杀数               今日死亡数               新增击杀数               新增死亡数               击杀比   
Top1    Lucas          101819              80627               97                  78                  1.24  
Top2    你这只臭猫          99659               99922               46                  37                  1.24  
Top3    这很机车           53762               54842               96                  80                  1.20  
Top4    京极真            7134                6259                123                 108                 1.14  
Top5    小牛马            7187                8660                76                  76                  1.00  
Top6    和明天相逢          24267               25565               45                  49                  0.92  
Top7    Ari            45475               49157               54                  60                  0.90  
Top8    bob            57657               52886               16                  32                  0.50  
Top9    哞哞             29082               32332               0                   0                   0.00  
Top10   lilt           120725              98463               0                   0                   0.00  
Top11   法兰西多士          85757               95248               0                   0                   0.00  
Top12   隗遗生            72844               60419               0                   0                   0.00  
Top13   波奇             41811               43120               0                   0                   0.00  
Top14   餐具大师           120513              113453              0                   0                   0.00  
Top15   Ash            21285               21502               0                   0                   0.00  
Top16   彦祖没有我潇         53185               46773               0                   0                   0.00  
Top17   我没文化           3007                3054                0                   0                   0.00  
Top18   阿司匹林           54097               55493               0                   0                   0.00  
Top19   小熊饼干           88278               86834               0                   0                   0.00  
