Rank  Nickname       今日击杀数               今日死亡数               新增击杀数               新增死亡数               击杀比   
Top1    波奇             39861               41448               162                 91                  1.78  
Top2    你这只臭猫          98258               98563               32                  22                  1.45  
Top3    lilt           119657              97543               69                  61                  1.13  
Top4    我没文化           1766                1752                27                  31                  0.87  
Top5    Ari            44405               48152               29                  36                  0.81  
Top6    Lucas          98220               77534               62                  78                  0.79  
Top7    这很机车           50749               51065               38                  65                  0.58  
Top8    哞哞             28371               31505               0                   0                   0.00  
Top9    法兰西多士          85704               95194               0                   0                   0.00  
Top10   和明天相逢          22317               23141               0                   0                   0.00  
Top11   隗遗生            72844               60419               0                   0                   0.00  
Top12   小牛马            5357                6623                0                   0                   0.00  
Top13   bob            57394               52571               0                   0                   0.00  
Top14   餐具大师           120374              113240              0                   0                   0.00  
Top15   Ash            21285               21502               0                   0                   0.00  
Top16   京极真            6585                5796                0                   0                   0.00  
Top17   彦祖没有我潇         53180               46741               0                   0                   0.00  
Top18   阿司匹林           54082               55474               0                   0                   0.00  
Top19   小熊饼干           88278               86834               0                   0                   0.00  
