Rank  Nickname       今日击杀数               今日死亡数               新增击杀数               新增死亡数               击杀比   
Top1    你这只臭猫          101921              101526              813                 274                 2.97  
Top2    GhostFace      92129               33523               182                 124                 1.47  
Top3    深藏Blue         42083               37367               24                  17                  1.41  
Top4    大泡泡            56770               57805               14                  10                  1.40  
Top5    这很机车           54778               55975               108                 90                  1.20  
Top6    Lucas          103625              82008               102                 101                 1.01  
Top7    哞哞             30002               33297               66                  72                  0.92  
Top8    和明天相逢          24892               26234               111                 128                 0.87  
Top9    lilt           121277              98896               22                  30                  0.73  
Top10   Ari            45967               49584               21                  30                  0.70  
Top11   小牛马            7886                9530                43                  66                  0.65  
Top12   法兰西多士          85778               95263               0                   0                   0.00  
Top13   隗遗生            72844               60419               0                   0                   0.00  
Top14   bob            57903               53085               0                   0                   0.00  
Top15   波奇             41944               43271               0                   0                   0.00  
Top16   餐具大师           120572              113534              0                   0                   0.00  
Top17   Ash            21285               21502               0                   0                   0.00  
Top18   京极真            8005                6941                0                   0                   0.00  
Top19   彦祖没有我潇         53394               47087               0                   0                   0.00  
Top20   我没文化           3007                3054                0                   0                   0.00  
Top21   阿司匹林           54130               55524               0                   0                   0.00  
Top22   小熊饼干           88296               86857               0                   0                   0.00  
Top23   axxibar        17046               20716               0                   0                   0.00  
