Rank  Nickname                      今日击杀数               今日死亡数               新增击杀数               新增死亡数               击杀比   今日爆头数               新增爆头数               爆头率   今日伤害量               新增伤害量               今日MVP次数             新增MVP次数             
Top1    这很机车                          58750               60075               48                  37                  1.30  26595               25                  52%   8667175             6638                4145                7                   
Top2    Lucas                         106706              84504               78                  65                  1.20  58930               44                  56%   14947294            11743               14823               17                  
Top3    Ari                           46944               50611               27                  23                  1.17  19812               10                  37%   6634390             3472                5398                2                   
Top4    lilt                          123175              100330              80                  77                  1.04  55746               41                  51%   17622999            12274               14563               9                   
Top5    林北                            32553               31968               66                  65                  1.02  13642               27                  41%   4902578             8482                6420                9                   
Top6    GhostFace                     96531               36948               17                  17                  1.00  51579               12                  71%   9966872             2735                6704                4                   
Top7    你这只臭猫                         105041              104681              47                  51                  0.92  45828               26                  55%   14911656            6887                10003               6                   
Top8    哞哞                            33067               36317               18                  20                  0.90  12638               6                   33%   4849862             2323                5889                4                   
Top9    餐具大师                          121858              114872              8                   17                  0.47  43137               5                   62%   17425767            1482                13644               1                   
Top10   法兰西多士                         86033               95473               0                   0                   0.00  39578               0                   0%    12523486            0                   11229               0                   
Top11   和明天相逢                         25455               26815               0                   0                   0.00  12658               0                   0%    3723910             0                   4413                0                   
Top12   隗遗生                           72844               60419               0                   0                   0.00  32837               0                   0%    10752521            0                   10943               0                   
Top13   小牛马                           8255                9935                0                   0                   0.00  3624                0                   0%    1229143             0                   986                 0                   
Top14   bob                           58388               53429               0                   0                   0.00  23693               0                   0%    9297125             0                   9415                0                   
Top15   波奇                            41983               43298               0                   0                   0.00  16299               0                   0%    5711013             0                   5404                0                   
Top16   Ash                           21285               21502               0                   0                   0.00  9075                0                   0%    3145930             0                   3019                0                   
Top17   京极真                           9763                8145                0                   0                   0.00  5678                0                   0%    1388890             0                   1052                0                   
Top18   彦祖没有我潇                        54520               48813               0                   0                   0.00  19288               0                   0%    8085631             0                   3378                0                   
Top19   我没文化                          3007                3054                0                   0                   0.00  1716                0                   0%    449552              0                   777                 0                   
Top20   阿司匹林                          54310               55685               0                   0                   0.00  19352               0                   0%    8046146             0                   7214                0                   
Top21   小熊饼干                          88415               86964               0                   0                   0.00  32128               0                   0%    12672515            0                   10602               0                   
Top22   深藏Blue                        43626               38964               0                   0                   0.00  22749               0                   0%    6350506             0                   3915                0                   
Top23   大泡泡                           57405               58366               0                   0                   0.00  20554               0                   0%    8018770             0                   8202                0                   
Top24   axxibar                       17046               20716               0                   0                   0.00  5867                0                   0%    2574613             0                   1724                0                   
