Rank  Nickname       今日击杀数               今日死亡数               新增击杀数               新增死亡数               击杀比   
Top1    Lucas          99989               79047               93                  74                  1.26  
Top2    和明天相逢          23212               24265               90                  109                 0.83  
Top3    小牛马            6506                7829                249                 328                 0.76  
Top4    这很机车           52480               53189               37                  63                  0.59  
Top5    Ari            44987               48734               11                  25                  0.44  
Top6    哞哞             28539               31766               0                   0                   0.00  
Top7    lilt           120382              98240               0                   0                   0.00  
Top8    法兰西多士          85725               95218               0                   0                   0.00  
Top9    隗遗生            72844               60419               0                   0                   0.00  
Top10   bob            57436               52626               0                   0                   0.00  
Top11   波奇             41313               42648               0                   0                   0.00  
Top12   餐具大师           120397              113270              0                   0                   0.00  
Top13   Ash            21285               21502               0                   0                   0.00  
Top14   京极真            6684                5859                0                   0                   0.00  
Top15   你这只臭猫          99078               99206               0                   0                   0.00  
Top16   彦祖没有我潇         53185               46773               0                   0                   0.00  
Top17   我没文化           2810                2891                0                   0                   0.00  
Top18   阿司匹林           54097               55493               0                   0                   0.00  
Top19   小熊饼干           88278               86834               0                   0                   0.00  
