Rank  Nickname       今日击杀数               今日死亡数               新增击杀数               新增死亡数               击杀比   
Top1    我没文化           233                 161                 157                 94                  1.67  
Top2    Lucas          96630               76008               75                  60                  1.25  
Top3    和明天相逢          21559               22255               72                  72                  1.00  
Top4    bob            57366               52543               25                  27                  0.93  
Top5    餐具大师           119862              112426              148                 162                 0.91  
Top6    这很机车           49316               49311               118                 133                 0.89  
Top7    你这只臭猫          97237               97636               19                  23                  0.83  
Top8    哞哞             27667               30639               9                   14                  0.64  
Top9    波奇             38891               40607               19                  39                  0.49  
Top10   lilt           119097              96947               0                   0                   0.00  
Top11   Ari            43462               47129               0                   0                   0.00  
Top12   法兰西多士          85548               95007               0                   0                   0.00  
Top13   隗遗生            72759               60336               0                   0                   0.00  
Top14   小牛马            4700                6053                0                   0                   0.00  
Top15   Ash            21285               21502               0                   0                   0.00  
Top16   京极真            6574                5781                0                   0                   0.00  
Top17   彦祖没有我潇         52990               46392               0                   0                   0.00  
Top18   阿司匹林           53980               55347               0                   0                   0.00  
Top19   小熊饼干           88159               86700               0                   0                   0.00  
