Rank  Nickname       今日击杀数               今日死亡数               新增击杀数               新增死亡数               击杀比   
Top1    Lucas          104880              83107               183                 132                 1.39  
Top2    GhostFace      94630               35385               190                 166                 1.14  
Top3    你这只臭猫          104220              103934              150                 148                 1.01  
Top4    餐具大师           121391              114259              47                  47                  1.00  
Top5    Ari            46616               50285               51                  52                  0.98  
Top6    这很机车           57124               58468               312                 328                 0.95  
Top7    哞哞             32444               35641               15                  31                  0.48  
Top8    彦祖没有我潇         54035               48050               30                  73                  0.41  
Top9    lilt           122367              99677               0                   0                   0.00  
Top10   法兰西多士          85796               95280               0                   0                   0.00  
Top11   和明天相逢          25357               26724               0                   0                   0.00  
Top12   隗遗生            72844               60419               0                   0                   0.00  
Top13   小牛马            7985                9636                0                   0                   0.00  
Top14   bob            58134               53266               0                   0                   0.00  
Top15   波奇             41983               43298               0                   0                   0.00  
Top16   Ash            21285               21502               0                   0                   0.00  
Top17   京极真            9763                8145                0                   0                   0.00  
Top18   我没文化           3007                3054                0                   0                   0.00  
Top19   阿司匹林           54130               55524               0                   0                   0.00  
Top20   小熊饼干           88415               86964               0                   0                   0.00  
Top21   深藏Blue         43146               38503               0                   0                   0.00  
Top22   大泡泡            57156               58177               0                   0                   0.00  
Top23   axxibar        17046               20716               0                   0                   0.00  
