Rank  Nickname       今日击杀数               今日死亡数               新增击杀数               新增死亡数               击杀比   
Top1    和明天相逢          24688               25971               150                 63                  2.38  
Top2    lilt           121002              98690               79                  46                  1.72  
Top3    Lucas          102671              81258               26                  18                  1.44  
Top4    京极真            7738                6796                159                 126                 1.26  
Top5    哞哞             29494               32799               30                  27                  1.11  
Top6    你这只臭猫          100156              100383              12                  14                  0.86  
Top7    深藏Blue         41764               37022               50                  70                  0.71  
Top8    小牛马            7546                9130                22                  39                  0.56  
Top9    餐具大师           120566              113524              23                  42                  0.55  
Top10   彦祖没有我潇         53244               46866               2                   7                   0.29  
Top11   Ari            45729               49333               0                   0                   0.00  
Top12   法兰西多士          85778               95263               0                   0                   0.00  
Top13   隗遗生            72844               60419               0                   0                   0.00  
Top14   bob            57743               52985               0                   0                   0.00  
Top15   波奇             41913               43230               0                   0                   0.00  
Top16   Ash            21285               21502               0                   0                   0.00  
Top17   这很机车           54346               55583               0                   0                   0.00  
Top18   我没文化           3007                3054                0                   0                   0.00  
Top19   阿司匹林           54097               55493               0                   0                   0.00  
Top20   小熊饼干           88278               86834               0                   0                   0.00  
Top21   大泡泡            56459               57494               0                   0                   0.00  
Top22   axxibar        17046               20716               0                   0                   0.00  
Top23   GhostFace      91214               33012               0                   0                   0.00  
