Rank  Nickname       今日击杀数               今日死亡数               新增击杀数               新增死亡数               击杀比   
Top1    Lucas          103110              81612               54                  32                  1.69  
Top2    GhostFace      91612               33250               125                 84                  1.49  
Top3    你这只臭猫          100749              100906              171                 142                 1.20  
Top4    哞哞             29901               33199               99                  89                  1.11  
Top5    彦祖没有我潇         53394               47087               150                 221                 0.68  
Top6    深藏Blue         42022               37311               52                  88                  0.59  
Top7    lilt           121154              98796               0                   0                   0.00  
Top8    Ari            45819               49405               0                   0                   0.00  
Top9    法兰西多士          85778               95263               0                   0                   0.00  
Top10   和明天相逢          24781               26106               0                   0                   0.00  
Top11   隗遗生            72844               60419               0                   0                   0.00  
Top12   小牛马            7665                9251                0                   0                   0.00  
Top13   bob            57873               53064               0                   0                   0.00  
Top14   波奇             41913               43230               0                   0                   0.00  
Top15   餐具大师           120572              113534              0                   0                   0.00  
Top16   Ash            21285               21502               0                   0                   0.00  
Top17   这很机车           54555               55760               0                   0                   0.00  
Top18   京极真            7738                6796                0                   0                   0.00  
Top19   我没文化           3007                3054                0                   0                   0.00  
Top20   阿司匹林           54130               55524               0                   0                   0.00  
Top21   小熊饼干           88278               86834               0                   0                   0.00  
Top22   大泡泡            56686               57718               0                   0                   0.00  
Top23   axxibar        17046               20716               0                   0                   0.00  
