Rank  Nickname       今日击杀数               今日死亡数               新增击杀数               新增死亡数               击杀比   
Top1    小牛马            6822                8282                31                  27                  1.15  
Top2    Ari            45247               48983               39                  35                  1.11  
Top3    Lucas          100579              79466               60                  60                  1.00  
Top4    这很机车           53021               53925               48                  52                  0.92  
Top5    和明天相逢          23891               25035               195                 224                 0.87  
Top6    你这只臭猫          99350               99569               166                 242                 0.69  
Top7    餐具大师           120435              113372              19                  35                  0.54  
Top8    哞哞             28707               31952               0                   0                   0.00  
Top9    lilt           120506              98324               0                   0                   0.00  
Top10   法兰西多士          85725               95218               0                   0                   0.00  
Top11   隗遗生            72844               60419               0                   0                   0.00  
Top12   bob            57505               52704               0                   0                   0.00  
Top13   波奇             41567               42887               0                   0                   0.00  
Top14   Ash            21285               21502               0                   0                   0.00  
Top15   京极真            6744                5918                0                   0                   0.00  
Top16   彦祖没有我潇         53185               46773               0                   0                   0.00  
Top17   我没文化           2980                3035                0                   0                   0.00  
Top18   阿司匹林           54097               55493               0                   0                   0.00  
Top19   小熊饼干           88278               86834               0                   0                   0.00  
